// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in D:\Projects\Trials\CoreNN\CoreNN\Benchmarker\bin\Release\netcoreapp3.0\7c0c59ef-ba37-41df-8519-7f28d2f176c2
// command took 2.82s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in D:\Projects\Trials\CoreNN\CoreNN\Benchmarker\bin\Release\netcoreapp3.0\7c0c59ef-ba37-41df-8519-7f28d2f176c2
// command took 6.91s and exited with 0
// ***** Done, took 00:00:10 (10.04 sec)   *****
// Found 4 benchmarks:
//   Benchmarker.MultiplyAvx: Core(Runtime=Core)
//   Benchmarker.MultiplyFma: Core(Runtime=Core)
//   Benchmarker.MultiplyClassicSingle: Core(Runtime=Core)
//   Benchmarker.MultiplyClassicGroup4: Core(Runtime=Core)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: Benchmarker.MultiplyAvx: Core(Runtime=Core)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "7c0c59ef-ba37-41df-8519-7f28d2f176c2.dll" --benchmarkName "Benchmarker.Benchmarker.MultiplyAvx" --job "Core" --benchmarkId 0 in D:\Projects\Trials\CoreNN\CoreNN\Benchmarker\bin\Release\netcoreapp3.0\7c0c59ef-ba37-41df-8519-7f28d2f176c2\bin\Release\netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Core(Runtime=Core)

OverheadJitting  1: 1 op, 491600.00 ns, 491.6000 us/op
WorkloadJitting  1: 1 op, 27372600.00 ns, 27.3726 ms/op

OverheadJitting  2: 16 op, 777300.00 ns, 48.5812 us/op
WorkloadJitting  2: 16 op, 14400700.00 ns, 900.0438 us/op

WorkloadPilot    1: 16 op, 12172200.00 ns, 760.7625 us/op
WorkloadPilot    2: 32 op, 22688700.00 ns, 709.0219 us/op
WorkloadPilot    3: 64 op, 38131500.00 ns, 595.8047 us/op
WorkloadPilot    4: 128 op, 79632900.00 ns, 622.1320 us/op
WorkloadPilot    5: 256 op, 160907500.00 ns, 628.5449 us/op
WorkloadPilot    6: 512 op, 310649500.00 ns, 606.7373 us/op
WorkloadPilot    7: 1024 op, 595666800.00 ns, 581.7059 us/op

OverheadWarmup   1: 1024 op, 10000.00 ns, 9.7656 ns/op
OverheadWarmup   2: 1024 op, 4700.00 ns, 4.5898 ns/op
OverheadWarmup   3: 1024 op, 2800.00 ns, 2.7344 ns/op
OverheadWarmup   4: 1024 op, 4000.00 ns, 3.9062 ns/op
OverheadWarmup   5: 1024 op, 3800.00 ns, 3.7109 ns/op
OverheadWarmup   6: 1024 op, 3100.00 ns, 3.0273 ns/op
OverheadWarmup   7: 1024 op, 4100.00 ns, 4.0039 ns/op
OverheadWarmup   8: 1024 op, 3100.00 ns, 3.0273 ns/op

OverheadActual   1: 1024 op, 2900.00 ns, 2.8320 ns/op
OverheadActual   2: 1024 op, 4500.00 ns, 4.3945 ns/op
OverheadActual   3: 1024 op, 2900.00 ns, 2.8320 ns/op
OverheadActual   4: 1024 op, 4000.00 ns, 3.9062 ns/op
OverheadActual   5: 1024 op, 3900.00 ns, 3.8086 ns/op
OverheadActual   6: 1024 op, 3100.00 ns, 3.0273 ns/op
OverheadActual   7: 1024 op, 2900.00 ns, 2.8320 ns/op
OverheadActual   8: 1024 op, 3200.00 ns, 3.1250 ns/op
OverheadActual   9: 1024 op, 5100.00 ns, 4.9805 ns/op
OverheadActual  10: 1024 op, 5500.00 ns, 5.3711 ns/op
OverheadActual  11: 1024 op, 4800.00 ns, 4.6875 ns/op
OverheadActual  12: 1024 op, 3200.00 ns, 3.1250 ns/op
OverheadActual  13: 1024 op, 3200.00 ns, 3.1250 ns/op
OverheadActual  14: 1024 op, 3600.00 ns, 3.5156 ns/op
OverheadActual  15: 1024 op, 3300.00 ns, 3.2227 ns/op
OverheadActual  16: 1024 op, 3200.00 ns, 3.1250 ns/op
OverheadActual  17: 1024 op, 2900.00 ns, 2.8320 ns/op
OverheadActual  18: 1024 op, 5800.00 ns, 5.6641 ns/op
OverheadActual  19: 1024 op, 3000.00 ns, 2.9297 ns/op
OverheadActual  20: 1024 op, 3300.00 ns, 3.2227 ns/op

WorkloadWarmup   1: 1024 op, 566236100.00 ns, 552.9649 us/op
WorkloadWarmup   2: 1024 op, 582398800.00 ns, 568.7488 us/op
WorkloadWarmup   3: 1024 op, 545808200.00 ns, 533.0158 us/op
WorkloadWarmup   4: 1024 op, 535347900.00 ns, 522.8007 us/op
WorkloadWarmup   5: 1024 op, 521945300.00 ns, 509.7122 us/op
WorkloadWarmup   6: 1024 op, 526618400.00 ns, 514.2758 us/op
WorkloadWarmup   7: 1024 op, 469807200.00 ns, 458.7961 us/op

// BeforeActualRun
WorkloadActual   1: 1024 op, 541266100.00 ns, 528.5802 us/op
WorkloadActual   2: 1024 op, 476251200.00 ns, 465.0891 us/op
WorkloadActual   3: 1024 op, 521943000.00 ns, 509.7100 us/op
WorkloadActual   4: 1024 op, 496106600.00 ns, 484.4791 us/op
WorkloadActual   5: 1024 op, 589674000.00 ns, 575.8535 us/op
WorkloadActual   6: 1024 op, 479495100.00 ns, 468.2569 us/op
WorkloadActual   7: 1024 op, 591959900.00 ns, 578.0858 us/op
