// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in D:\Projects\Trials\CoreNN\CoreNN\Benchmarker\bin\Release\netcoreapp3.0\241af59a-5be8-4545-b632-700849791d81
// command took 2.95s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in D:\Projects\Trials\CoreNN\CoreNN\Benchmarker\bin\Release\netcoreapp3.0\241af59a-5be8-4545-b632-700849791d81
// command took 4.63s and exited with 0
// ***** Done, took 00:00:07 (7.81 sec)   *****
// Found 4 benchmarks:
//   Benchmarker.MultiplyAvx: Core(Runtime=Core)
//   Benchmarker.MultiplyFma: Core(Runtime=Core)
//   Benchmarker.MultiplyClassicSingle: Core(Runtime=Core)
//   Benchmarker.MultiplyClassicGroup4: Core(Runtime=Core)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: Benchmarker.MultiplyAvx: Core(Runtime=Core)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "241af59a-5be8-4545-b632-700849791d81.dll" --benchmarkName "Benchmarker.Benchmarker.MultiplyAvx" --job "Core" --benchmarkId 0 in D:\Projects\Trials\CoreNN\CoreNN\Benchmarker\bin\Release\netcoreapp3.0\241af59a-5be8-4545-b632-700849791d81\bin\Release\netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Core(Runtime=Core)

OverheadJitting  1: 1 op, 566000.00 ns, 566.0000 us/op
WorkloadJitting  1: 1 op, 35032000.00 ns, 35.0320 ms/op

WorkloadPilot    1: 2 op, 1247600.00 ns, 623.8000 us/op
WorkloadPilot    2: 3 op, 1572200.00 ns, 524.0667 us/op
WorkloadPilot    3: 4 op, 3031500.00 ns, 757.8750 us/op
WorkloadPilot    4: 5 op, 4206200.00 ns, 841.2400 us/op
WorkloadPilot    5: 6 op, 4477800.00 ns, 746.3000 us/op
WorkloadPilot    6: 7 op, 5470800.00 ns, 781.5429 us/op
WorkloadPilot    7: 8 op, 5633800.00 ns, 704.2250 us/op
WorkloadPilot    8: 9 op, 5154100.00 ns, 572.6778 us/op
WorkloadPilot    9: 10 op, 7768400.00 ns, 776.8400 us/op
WorkloadPilot   10: 11 op, 6326100.00 ns, 575.1000 us/op
WorkloadPilot   11: 12 op, 7275100.00 ns, 606.2583 us/op
WorkloadPilot   12: 13 op, 8679300.00 ns, 667.6385 us/op
WorkloadPilot   13: 14 op, 9432400.00 ns, 673.7429 us/op
WorkloadPilot   14: 15 op, 8679900.00 ns, 578.6600 us/op
WorkloadPilot   15: 16 op, 9146200.00 ns, 571.6375 us/op
WorkloadPilot   16: 32 op, 22752300.00 ns, 711.0094 us/op
WorkloadPilot   17: 64 op, 47931300.00 ns, 748.9266 us/op
WorkloadPilot   18: 128 op, 91772200.00 ns, 716.9703 us/op
WorkloadPilot   19: 256 op, 153435600.00 ns, 599.3578 us/op
WorkloadPilot   20: 512 op, 318127100.00 ns, 621.3420 us/op
WorkloadPilot   21: 1024 op, 576138200.00 ns, 562.6350 us/op

WorkloadWarmup   1: 1024 op, 470475000.00 ns, 459.4482 us/op
WorkloadWarmup   2: 1024 op, 449352600.00 ns, 438.8209 us/op
WorkloadWarmup   3: 1024 op, 442833000.00 ns, 432.4541 us/op
WorkloadWarmup   4: 1024 op, 406430000.00 ns, 396.9043 us/op
WorkloadWarmup   5: 1024 op, 443187200.00 ns, 432.8000 us/op
WorkloadWarmup   6: 1024 op, 428630600.00 ns, 418.5846 us/op
WorkloadWarmup   7: 1024 op, 431457900.00 ns, 421.3456 us/op
WorkloadWarmup   8: 1024 op, 429537600.00 ns, 419.4703 us/op

// BeforeActualRun
WorkloadActual   1: 1024 op, 427245900.00 ns, 417.2323 us/op
WorkloadActual   2: 1024 op, 427431600.00 ns, 417.4137 us/op
WorkloadActual   3: 1024 op, 420128300.00 ns, 410.2815 us/op
WorkloadActual   4: 1024 op, 435611500.00 ns, 425.4019 us/op
WorkloadActual   5: 1024 op, 421086700.00 ns, 411.2175 us/op
WorkloadActual   6: 1024 op, 443938300.00 ns, 433.5335 us/op
WorkloadActual   7: 1024 op, 418592500.00 ns, 408.7817 us/op
WorkloadActual   8: 1024 op, 415305200.00 ns, 405.5715 us/op
WorkloadActual   9: 1024 op, 464871200.00 ns, 453.9758 us/op
WorkloadActual  10: 1024 op, 409838400.00 ns, 400.2328 us/op
WorkloadActual  11: 1024 op, 435287200.00 ns, 425.0852 us/op
WorkloadActual  12: 1024 op, 430263300.00 ns, 420.1790 us/op
WorkloadActual  13: 1024 op, 446446400.00 ns, 435.9828 us/op
WorkloadActual  14: 1024 op, 429593600.00 ns, 419.5250 us/op
WorkloadActual  15: 1024 op, 383626100.00 ns, 374.6349 us/op
WorkloadActual  16: 1024 op, 437224400.00 ns, 426.9770 us/op
WorkloadActual  17: 1024 op, 402608200.00 ns, 393.1721 us/op
WorkloadActual  18: 1024 op, 398791600.00 ns, 389.4449 us/op
WorkloadActual  19: 1024 op, 423986700.00 ns, 414.0495 us/op
WorkloadActual  20: 1024 op, 383327500.00 ns, 374.3433 us/op
WorkloadActual  21: 1024 op, 447283600.00 ns, 436.8004 us/op
WorkloadActual  22: 1024 op, 395207900.00 ns, 385.9452 us/op
WorkloadActual  23: 1024 op, 404684400.00 ns, 395.1996 us/op
