// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 5 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in D:\Projects\Trials\CoreNN\CoreNN\Benchmarker\bin\Release\netcoreapp3.0\8c64c5a0-b3e1-4e4b-8466-06447e54d35c
// command took 2.19s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in D:\Projects\Trials\CoreNN\CoreNN\Benchmarker\bin\Release\netcoreapp3.0\8c64c5a0-b3e1-4e4b-8466-06447e54d35c
// command took 5.13s and exited with 0
// ***** Done, took 00:00:07 (7.55 sec)   *****
// Found 5 benchmarks:
//   Benchmarker.MultiplyAvx: Core(Runtime=Core)
//   Benchmarker.MultiplyFma: Core(Runtime=Core)
//   Benchmarker.MultiplyClassicSingle: Core(Runtime=Core)
//   Benchmarker.MultiplyClassicGroup4: Core(Runtime=Core)
//   Benchmarker.MultiplyClassicGroup8: Core(Runtime=Core)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: Benchmarker.MultiplyAvx: Core(Runtime=Core)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "8c64c5a0-b3e1-4e4b-8466-06447e54d35c.dll" --benchmarkName "Benchmarker.Benchmarker.MultiplyAvx" --job "Core" --benchmarkId 0 in D:\Projects\Trials\CoreNN\CoreNN\Benchmarker\bin\Release\netcoreapp3.0\8c64c5a0-b3e1-4e4b-8466-06447e54d35c\bin\Release\netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Core(Runtime=Core)

OverheadJitting  1: 1 op, 535100.00 ns, 535.1000 us/op
WorkloadJitting  1: 1 op, 32024800.00 ns, 32.0248 ms/op

OverheadJitting  2: 16 op, 868300.00 ns, 54.2687 us/op
WorkloadJitting  2: 16 op, 10601500.00 ns, 662.5938 us/op

WorkloadPilot    1: 16 op, 13027300.00 ns, 814.2062 us/op
WorkloadPilot    2: 32 op, 21731100.00 ns, 679.0969 us/op
WorkloadPilot    3: 64 op, 39878300.00 ns, 623.0984 us/op
WorkloadPilot    4: 128 op, 81507000.00 ns, 636.7734 us/op
WorkloadPilot    5: 256 op, 162437200.00 ns, 634.5203 us/op
WorkloadPilot    6: 512 op, 338776500.00 ns, 661.6729 us/op
WorkloadPilot    7: 1024 op, 627883100.00 ns, 613.1671 us/op

OverheadWarmup   1: 1024 op, 6900.00 ns, 6.7383 ns/op
OverheadWarmup   2: 1024 op, 2900.00 ns, 2.8320 ns/op
OverheadWarmup   3: 1024 op, 2700.00 ns, 2.6367 ns/op
OverheadWarmup   4: 1024 op, 2600.00 ns, 2.5391 ns/op
OverheadWarmup   5: 1024 op, 2700.00 ns, 2.6367 ns/op
OverheadWarmup   6: 1024 op, 3700.00 ns, 3.6133 ns/op
OverheadWarmup   7: 1024 op, 3300.00 ns, 3.2227 ns/op
OverheadWarmup   8: 1024 op, 3200.00 ns, 3.1250 ns/op
OverheadWarmup   9: 1024 op, 2400.00 ns, 2.3438 ns/op
OverheadWarmup  10: 1024 op, 3000.00 ns, 2.9297 ns/op

OverheadActual   1: 1024 op, 2600.00 ns, 2.5391 ns/op
OverheadActual   2: 1024 op, 5700.00 ns, 5.5664 ns/op
OverheadActual   3: 1024 op, 3200.00 ns, 3.1250 ns/op
OverheadActual   4: 1024 op, 3200.00 ns, 3.1250 ns/op
OverheadActual   5: 1024 op, 2300.00 ns, 2.2461 ns/op
OverheadActual   6: 1024 op, 2900.00 ns, 2.8320 ns/op
OverheadActual   7: 1024 op, 2500.00 ns, 2.4414 ns/op
OverheadActual   8: 1024 op, 3300.00 ns, 3.2227 ns/op
OverheadActual   9: 1024 op, 3000.00 ns, 2.9297 ns/op
OverheadActual  10: 1024 op, 5300.00 ns, 5.1758 ns/op
OverheadActual  11: 1024 op, 2600.00 ns, 2.5391 ns/op
OverheadActual  12: 1024 op, 2900.00 ns, 2.8320 ns/op
OverheadActual  13: 1024 op, 2800.00 ns, 2.7344 ns/op
OverheadActual  14: 1024 op, 3200.00 ns, 3.1250 ns/op
OverheadActual  15: 1024 op, 8300.00 ns, 8.1055 ns/op
OverheadActual  16: 1024 op, 10700.00 ns, 10.4492 ns/op
OverheadActual  17: 1024 op, 3000.00 ns, 2.9297 ns/op
OverheadActual  18: 1024 op, 5500.00 ns, 5.3711 ns/op
OverheadActual  19: 1024 op, 4900.00 ns, 4.7852 ns/op
OverheadActual  20: 1024 op, 2600.00 ns, 2.5391 ns/op

WorkloadWarmup   1: 1024 op, 585019600.00 ns, 571.3082 us/op
WorkloadWarmup   2: 1024 op, 491654400.00 ns, 480.1313 us/op
WorkloadWarmup   3: 1024 op, 523291800.00 ns, 511.0271 us/op
WorkloadWarmup   4: 1024 op, 512153800.00 ns, 500.1502 us/op
WorkloadWarmup   5: 1024 op, 533394600.00 ns, 520.8932 us/op
WorkloadWarmup   6: 1024 op, 512437000.00 ns, 500.4268 us/op

// BeforeActualRun
WorkloadActual   1: 1024 op, 519471400.00 ns, 507.2963 us/op
WorkloadActual   2: 1024 op, 517247100.00 ns, 505.1241 us/op
WorkloadActual   3: 1024 op, 527028200.00 ns, 514.6760 us/op
WorkloadActual   4: 1024 op, 513395000.00 ns, 501.3623 us/op
WorkloadActual   5: 1024 op, 529235800.00 ns, 516.8318 us/op
WorkloadActual   6: 1024 op, 507517500.00 ns, 495.6226 us/op
WorkloadActual   7: 1024 op, 454642700.00 ns, 443.9870 us/op
WorkloadActual   8: 1024 op, 432647000.00 ns, 422.5068 us/op
WorkloadActual   9: 1024 op, 473733400.00 ns, 462.6303 us/op
WorkloadActual  10: 1024 op, 417259300.00 ns, 407.4798 us/op
WorkloadActual  11: 1024 op, 443698700.00 ns, 433.2995 us/op
WorkloadActual  12: 1024 op, 445040300.00 ns, 434.6097 us/op
WorkloadActual  13: 1024 op, 472775900.00 ns, 461.6952 us/op
WorkloadActual  14: 1024 op, 481409700.00 ns, 470.1267 us/op
WorkloadActual  15: 1024 op, 445689200.00 ns, 435.2434 us/op
WorkloadActual  16: 1024 op, 487525000.00 ns, 476.0986 us/op
WorkloadActual  17: 1024 op, 439275300.00 ns, 428.9798 us/op
WorkloadActual  18: 1024 op, 472539300.00 ns, 461.4642 us/op
WorkloadActual  19: 1024 op, 432343700.00 ns, 422.2106 us/op
WorkloadActual  20: 1024 op, 450182000.00 ns, 439.6309 us/op
WorkloadActual  21: 1024 op, 478132600.00 ns, 466.9264 us/op
WorkloadActual  22: 1024 op, 442294000.00 ns, 431.9277 us/op
WorkloadActual  23: 1024 op, 478401300.00 ns, 467.1888 us/op
WorkloadActual  24: 1024 op, 425190800.00 ns, 415.2254 us/op
WorkloadActual  25: 1024 op, 478035400.00 ns, 466.8314 us/op
WorkloadActual  26: 1024 op, 459234500.00 ns, 448.4712 us/op
WorkloadActual  27: 1024 op, 441832200.00 ns, 431.4768 us/op
WorkloadActual  28: 1024 op, 447151800.00 ns, 436.6717 us/op
WorkloadActual  29: 1024 op, 436141600.00 ns, 425.9195 us/op
WorkloadActual  30: 1024 op, 466905700.00 ns, 455.9626 us/op
WorkloadActual  31: 1024 op, 453088800.00 ns, 442.4695 us/op
WorkloadActual  32: 1024 op, 557205700.00 ns, 544.1462 us/op
WorkloadActual  33: 1024 op, 514213600.00 ns, 502.1617 us/op
WorkloadActual  34: 1024 op, 483337000.00 ns, 472.0088 us/op
WorkloadActual  35: 1024 op, 489451100.00 ns, 477.9796 us/op
WorkloadActual  36: 1024 op, 468310500.00 ns, 457.3345 us/op
WorkloadActual  37: 1024 op, 406581500.00 ns, 397.0522 us/op
WorkloadActual  38: 1024 op, 436362000.00 ns, 426.1348 us/op
WorkloadActual  39: 1024 op, 440366500.00 ns, 430.0454 us/op
WorkloadActual  40: 1024 op, 504264800.00 ns, 492.4461 us/op
WorkloadActual  41: 1024 op, 455202700.00 ns, 444.5339 us/op
WorkloadActual  42: 1024 op, 438586600.00 ns, 428.3072 us/op
WorkloadActual  43: 1024 op, 452187700.00 ns, 441.5896 us/op
WorkloadActual  44: 1024 op, 426965300.00 ns, 416.9583 us/op
WorkloadActual  45: 1024 op, 459754200.00 ns, 448.9787 us/op
WorkloadActual  46: 1024 op, 431255000.00 ns, 421.1475 us/op
WorkloadActual  47: 1024 op, 457683100.00 ns, 446.9562 us/op
WorkloadActual  48: 1024 op, 505534800.00 ns, 493.6863 us/op
