// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 7 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in D:\Projects\Trials\CoreNN\CoreNN\Benchmarker\bin\Release\netcoreapp3.0\366f48cd-eb93-4d29-8976-ae650e804c0e
// command took 2.22s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in D:\Projects\Trials\CoreNN\CoreNN\Benchmarker\bin\Release\netcoreapp3.0\366f48cd-eb93-4d29-8976-ae650e804c0e
// command took 5.78s and exited with 0
// ***** Done, took 00:00:08 (8.2 sec)   *****
// Found 7 benchmarks:
//   Benchmarker.MultiplyAvx: Core(Runtime=Core)
//   Benchmarker.MultiplyAvxWSpanPtr: Core(Runtime=Core)
//   Benchmarker.MultiplyFma: Core(Runtime=Core)
//   Benchmarker.MultiplyFmaWSpanPtr: Core(Runtime=Core)
//   Benchmarker.MultiplyClassicSingle: Core(Runtime=Core)
//   Benchmarker.MultiplyClassicGroup4: Core(Runtime=Core)
//   Benchmarker.MultiplyClassicGroup8: Core(Runtime=Core)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: Benchmarker.MultiplyAvx: Core(Runtime=Core)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "366f48cd-eb93-4d29-8976-ae650e804c0e.dll" --benchmarkName "Benchmarker.Benchmarker.MultiplyAvx" --job "Core" --benchmarkId 0 in D:\Projects\Trials\CoreNN\CoreNN\Benchmarker\bin\Release\netcoreapp3.0\366f48cd-eb93-4d29-8976-ae650e804c0e\bin\Release\netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Core(Runtime=Core)

OverheadJitting  1: 1 op, 361100.00 ns, 361.1000 us/op
WorkloadJitting  1: 1 op, 52707400.00 ns, 52.7074 ms/op

WorkloadPilot    1: 2 op, 1017900.00 ns, 508.9500 us/op
WorkloadPilot    2: 3 op, 1537600.00 ns, 512.5333 us/op
WorkloadPilot    3: 4 op, 3694800.00 ns, 923.7000 us/op
WorkloadPilot    4: 5 op, 3760000.00 ns, 752.0000 us/op
WorkloadPilot    5: 6 op, 3197600.00 ns, 532.9333 us/op
WorkloadPilot    6: 7 op, 3147400.00 ns, 449.6286 us/op
WorkloadPilot    7: 8 op, 6107700.00 ns, 763.4625 us/op
WorkloadPilot    8: 9 op, 4326100.00 ns, 480.6778 us/op
WorkloadPilot    9: 10 op, 7575600.00 ns, 757.5600 us/op
WorkloadPilot   10: 11 op, 6318400.00 ns, 574.4000 us/op
WorkloadPilot   11: 12 op, 5891700.00 ns, 490.9750 us/op
WorkloadPilot   12: 13 op, 7885500.00 ns, 606.5769 us/op
WorkloadPilot   13: 14 op, 10849300.00 ns, 774.9500 us/op
WorkloadPilot   14: 15 op, 7742000.00 ns, 516.1333 us/op
WorkloadPilot   15: 16 op, 10791200.00 ns, 674.4500 us/op
WorkloadPilot   16: 32 op, 17979800.00 ns, 561.8687 us/op
WorkloadPilot   17: 64 op, 35055800.00 ns, 547.7469 us/op
WorkloadPilot   18: 128 op, 74983100.00 ns, 585.8055 us/op
WorkloadPilot   19: 256 op, 181987700.00 ns, 710.8895 us/op
WorkloadPilot   20: 512 op, 284139000.00 ns, 554.9590 us/op
WorkloadPilot   21: 1024 op, 488445500.00 ns, 476.9976 us/op
WorkloadPilot   22: 2048 op, 1055461300.00 ns, 515.3620 us/op

WorkloadWarmup   1: 2048 op, 1005769400.00 ns, 491.0983 us/op
WorkloadWarmup   2: 2048 op, 953879100.00 ns, 465.7613 us/op
WorkloadWarmup   3: 2048 op, 1096644100.00 ns, 535.4708 us/op
WorkloadWarmup   4: 2048 op, 989789400.00 ns, 483.2956 us/op
WorkloadWarmup   5: 2048 op, 940938400.00 ns, 459.4426 us/op
WorkloadWarmup   6: 2048 op, 982407800.00 ns, 479.6913 us/op
WorkloadWarmup   7: 2048 op, 936452100.00 ns, 457.2520 us/op

// BeforeActualRun
WorkloadActual   1: 2048 op, 903987900.00 ns, 441.4003 us/op
WorkloadActual   2: 2048 op, 875078800.00 ns, 427.2846 us/op
WorkloadActual   3: 2048 op, 854889100.00 ns, 417.4263 us/op
WorkloadActual   4: 2048 op, 818024400.00 ns, 399.4260 us/op
WorkloadActual   5: 2048 op, 846082000.00 ns, 413.1260 us/op
WorkloadActual   6: 2048 op, 866476600.00 ns, 423.0843 us/op
WorkloadActual   7: 2048 op, 878855900.00 ns, 429.1289 us/op
WorkloadActual   8: 2048 op, 829921500.00 ns, 405.2351 us/op
WorkloadActual   9: 2048 op, 818097100.00 ns, 399.4615 us/op
WorkloadActual  10: 2048 op, 906798900.00 ns, 442.7729 us/op
WorkloadActual  11: 2048 op, 855707300.00 ns, 417.8258 us/op
WorkloadActual  12: 2048 op, 849769900.00 ns, 414.9267 us/op
WorkloadActual  13: 2048 op, 853205300.00 ns, 416.6042 us/op
WorkloadActual  14: 2048 op, 936107200.00 ns, 457.0836 us/op
WorkloadActual  15: 2048 op, 826974700.00 ns, 403.7962 us/op
WorkloadActual  16: 2048 op, 850051900.00 ns, 415.0644 us/op
WorkloadActual  17: 2048 op, 850223400.00 ns, 415.1481 us/op
WorkloadActual  18: 2048 op, 852071300.00 ns, 416.0504 us/op
WorkloadActual  19: 2048 op, 849559600.00 ns, 414.8240 us/op
WorkloadActual  20: 2048 op, 982913400.00 ns, 479.9382 us/op
WorkloadActual  21: 2048 op, 813650400.00 ns, 397.2902 us/op
WorkloadActual  22: 2048 op, 852311300.00 ns, 416.1676 us/op
WorkloadActual  23: 2048 op, 839898400.00 ns, 410.1066 us/op
WorkloadActual  24: 2048 op, 846396700.00 ns, 413.2796 us/op
WorkloadActual  25: 2048 op, 841031800.00 ns, 410.6601 us/op
WorkloadActual  26: 2048 op, 841465600.00 ns, 410.8719 us/op

// AfterActualRun
WorkloadResult   1: 2048 op, 903987900.00 ns, 441.4003 us/op
WorkloadResult   2: 2048 op, 875078800.00 ns, 427.2846 us/op
WorkloadResult   3: 2048 op, 854889100.00 ns, 417.4263 us/op
WorkloadResult   4: 2048 op, 818024400.00 ns, 399.4260 us/op
WorkloadResult   5: 2048 op, 846082000.00 ns, 413.1260 us/op
WorkloadResult   6: 2048 op, 866476600.00 ns, 423.0843 us/op
WorkloadResult   7: 2048 op, 878855900.00 ns, 429.1289 us/op
WorkloadResult   8: 2048 op, 829921500.00 ns, 405.2351 us/op
WorkloadResult   9: 2048 op, 818097100.00 ns, 399.4615 us/op
WorkloadResult  10: 2048 op, 855707300.00 ns, 417.8258 us/op
WorkloadResult  11: 2048 op, 849769900.00 ns, 414.9267 us/op
WorkloadResult  12: 2048 op, 853205300.00 ns, 416.6042 us/op
WorkloadResult  13: 2048 op, 826974700.00 ns, 403.7962 us/op
WorkloadResult  14: 2048 op, 850051900.00 ns, 415.0644 us/op
WorkloadResult  15: 2048 op, 850223400.00 ns, 415.1481 us/op
WorkloadResult  16: 2048 op, 852071300.00 ns, 416.0504 us/op
WorkloadResult  17: 2048 op, 849559600.00 ns, 414.8240 us/op
WorkloadResult  18: 2048 op, 813650400.00 ns, 397.2902 us/op
WorkloadResult  19: 2048 op, 852311300.00 ns, 416.1676 us/op
WorkloadResult  20: 2048 op, 839898400.00 ns, 410.1066 us/op
WorkloadResult  21: 2048 op, 846396700.00 ns, 413.2796 us/op
WorkloadResult  22: 2048 op, 841031800.00 ns, 410.6601 us/op
WorkloadResult  23: 2048 op, 841465600.00 ns, 410.8719 us/op
GC:  0 0 0 0 2048

// AfterAll

Mean = 414.2691 us, StdErr = 2.0872 us (0.50%); N = 23, StdDev = 10.0099 us
Min = 397.2902 us, Q1 = 410.1066 us, Median = 414.9267 us, Q3 = 417.4263 us, Max = 441.4003 us
IQR = 7.3197 us, LowerFence = 399.1271 us, UpperFence = 428.4058 us
ConfidenceInterval = [406.3541 us; 422.1841 us] (CI 99.9%), Margin = 7.9150 us (1.91% of Mean)
Skewness = 0.55, Kurtosis = 3.57, MValue = 2

// **************************
// Benchmark: Benchmarker.MultiplyAvxWSpanPtr: Core(Runtime=Core)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "366f48cd-eb93-4d29-8976-ae650e804c0e.dll" --benchmarkName "Benchmarker.Benchmarker.MultiplyAvxWSpanPtr" --job "Core" --benchmarkId 1 in D:\Projects\Trials\CoreNN\CoreNN\Benchmarker\bin\Release\netcoreapp3.0\366f48cd-eb93-4d29-8976-ae650e804c0e\bin\Release\netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Core(Runtime=Core)

OverheadJitting  1: 1 op, 345100.00 ns, 345.1000 us/op
WorkloadJitting  1: 1 op, 4907300.00 ns, 4.9073 ms/op

OverheadJitting  2: 16 op, 561300.00 ns, 35.0812 us/op
WorkloadJitting  2: 16 op, 10375000.00 ns, 648.4375 us/op

WorkloadPilot    1: 16 op, 8392900.00 ns, 524.5562 us/op
WorkloadPilot    2: 32 op, 10079200.00 ns, 314.9750 us/op
WorkloadPilot    3: 64 op, 27328500.00 ns, 427.0078 us/op
WorkloadPilot    4: 128 op, 48796500.00 ns, 381.2227 us/op
WorkloadPilot    5: 256 op, 113591100.00 ns, 443.7152 us/op
WorkloadPilot    6: 512 op, 200910900.00 ns, 392.4041 us/op
WorkloadPilot    7: 1024 op, 427614800.00 ns, 417.5926 us/op
WorkloadPilot    8: 2048 op, 771511600.00 ns, 376.7146 us/op

OverheadWarmup   1: 2048 op, 6400.00 ns, 3.1250 ns/op
OverheadWarmup   2: 2048 op, 6000.00 ns, 2.9297 ns/op
OverheadWarmup   3: 2048 op, 3900.00 ns, 1.9043 ns/op
OverheadWarmup   4: 2048 op, 4500.00 ns, 2.1973 ns/op
OverheadWarmup   5: 2048 op, 4000.00 ns, 1.9531 ns/op
OverheadWarmup   6: 2048 op, 4800.00 ns, 2.3438 ns/op
OverheadWarmup   7: 2048 op, 3700.00 ns, 1.8066 ns/op

OverheadActual   1: 2048 op, 4000.00 ns, 1.9531 ns/op
OverheadActual   2: 2048 op, 4000.00 ns, 1.9531 ns/op
OverheadActual   3: 2048 op, 3900.00 ns, 1.9043 ns/op
OverheadActual   4: 2048 op, 5100.00 ns, 2.4902 ns/op
OverheadActual   5: 2048 op, 3900.00 ns, 1.9043 ns/op
OverheadActual   6: 2048 op, 3900.00 ns, 1.9043 ns/op
OverheadActual   7: 2048 op, 3900.00 ns, 1.9043 ns/op
OverheadActual   8: 2048 op, 3900.00 ns, 1.9043 ns/op
OverheadActual   9: 2048 op, 3900.00 ns, 1.9043 ns/op
OverheadActual  10: 2048 op, 3800.00 ns, 1.8555 ns/op
OverheadActual  11: 2048 op, 3800.00 ns, 1.8555 ns/op
OverheadActual  12: 2048 op, 5900.00 ns, 2.8809 ns/op
OverheadActual  13: 2048 op, 8200.00 ns, 4.0039 ns/op
OverheadActual  14: 2048 op, 8800.00 ns, 4.2969 ns/op
OverheadActual  15: 2048 op, 5500.00 ns, 2.6855 ns/op
OverheadActual  16: 2048 op, 5300.00 ns, 2.5879 ns/op
OverheadActual  17: 2048 op, 7600.00 ns, 3.7109 ns/op
OverheadActual  18: 2048 op, 5200.00 ns, 2.5391 ns/op
OverheadActual  19: 2048 op, 4500.00 ns, 2.1973 ns/op
