// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 8 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in D:\Projects\Trials\CoreNN\CoreNN\Benchmarker\bin\Release\netcoreapp3.0\a3ef1f11-95dd-4261-9dc2-2e5a6745302c
// command took 2.42s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in D:\Projects\Trials\CoreNN\CoreNN\Benchmarker\bin\Release\netcoreapp3.0\a3ef1f11-95dd-4261-9dc2-2e5a6745302c
// command took 5.27s and exited with 0
// ***** Done, took 00:00:07 (7.89 sec)   *****
// Found 8 benchmarks:
//   Benchmarker.MultiplyAvx: Core(Runtime=Core)
//   Benchmarker.MultiplyAvxWSpanPtr: Core(Runtime=Core)
//   Benchmarker.MultiplyFma: Core(Runtime=Core)
//   Benchmarker.MultiplyFmaWSpanPtr: Core(Runtime=Core)
//   Benchmarker.MultiplyClassicSingle: Core(Runtime=Core)
//   Benchmarker.MultiplyClassicSingleWPtr: Core(Runtime=Core)
//   Benchmarker.MultiplyClassicGroup4: Core(Runtime=Core)
//   Benchmarker.MultiplyClassicGroup8: Core(Runtime=Core)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: Benchmarker.MultiplyAvx: Core(Runtime=Core)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "a3ef1f11-95dd-4261-9dc2-2e5a6745302c.dll" --benchmarkName "Benchmarker.Benchmarker.MultiplyAvx" --job "Core" --benchmarkId 0 in D:\Projects\Trials\CoreNN\CoreNN\Benchmarker\bin\Release\netcoreapp3.0\a3ef1f11-95dd-4261-9dc2-2e5a6745302c\bin\Release\netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Core(Runtime=Core)

OverheadJitting  1: 1 op, 425200.00 ns, 425.2000 us/op
WorkloadJitting  1: 1 op, 25288700.00 ns, 25.2887 ms/op

OverheadJitting  2: 16 op, 495700.00 ns, 30.9812 us/op
WorkloadJitting  2: 16 op, 12889200.00 ns, 805.5750 us/op

WorkloadPilot    1: 16 op, 13916900.00 ns, 869.8062 us/op
WorkloadPilot    2: 32 op, 19136600.00 ns, 598.0187 us/op
WorkloadPilot    3: 64 op, 33936800.00 ns, 530.2625 us/op
WorkloadPilot    4: 128 op, 67241200.00 ns, 525.3219 us/op
WorkloadPilot    5: 256 op, 112282700.00 ns, 438.6043 us/op
WorkloadPilot    6: 512 op, 231815700.00 ns, 452.7650 us/op
WorkloadPilot    7: 1024 op, 435245700.00 ns, 425.0446 us/op
WorkloadPilot    8: 2048 op, 866593500.00 ns, 423.1414 us/op

OverheadWarmup   1: 2048 op, 11300.00 ns, 5.5176 ns/op
OverheadWarmup   2: 2048 op, 29700.00 ns, 14.5020 ns/op
OverheadWarmup   3: 2048 op, 7400.00 ns, 3.6133 ns/op
OverheadWarmup   4: 2048 op, 3700.00 ns, 1.8066 ns/op
OverheadWarmup   5: 2048 op, 5700.00 ns, 2.7832 ns/op
OverheadWarmup   6: 2048 op, 5200.00 ns, 2.5391 ns/op

OverheadActual   1: 2048 op, 3900.00 ns, 1.9043 ns/op
OverheadActual   2: 2048 op, 7000.00 ns, 3.4180 ns/op
OverheadActual   3: 2048 op, 4000.00 ns, 1.9531 ns/op
OverheadActual   4: 2048 op, 6700.00 ns, 3.2715 ns/op
OverheadActual   5: 2048 op, 5800.00 ns, 2.8320 ns/op
OverheadActual   6: 2048 op, 3800.00 ns, 1.8555 ns/op
OverheadActual   7: 2048 op, 4700.00 ns, 2.2949 ns/op
OverheadActual   8: 2048 op, 5600.00 ns, 2.7344 ns/op
OverheadActual   9: 2048 op, 3600.00 ns, 1.7578 ns/op
OverheadActual  10: 2048 op, 4700.00 ns, 2.2949 ns/op
OverheadActual  11: 2048 op, 4600.00 ns, 2.2461 ns/op
